idx,label,sw_pred_ttfs,sw_pred_count,sw_direct_count_pred,direct_count_pred_match,direct_count_score_pred_match,direct_count_vector_match,sw_ct_pruned_pred,sw_ct_count_score_pred,sw_ct_source_fire_count,sw_ct_valid_event_budget,sw_hwct_pruned_pred,sw_hwct_count_score_pred,sw_hwct_source_fire_count,sw_hwct_valid_event_budget,hw_pred,hw_pred_score,hw_pred_count,hw_pred_count_raw,hw_pred_count_score,hw_pred_s2mm,hw_pred_rtl_first_classifier,hw_matches_sw_ct_pruned,hw_matches_sw_ct_count_score,hw_matches_sw_hwct_count_score,profile_incomplete,sw_direct_class_0_count,sw_ct_class_0_count,hw_class_0_count,hw_minus_sw_direct_class_0_count,sw_ct_class_0_score,sw_hwct_class_0_count,sw_hwct_class_0_score,sw_hwct_class_0_event_count,hw_class_0_score,sw_ct_class_0_event_count,hw_class_0_event_count,router_class_0_score,router_class_0_event_count,top_class_0_score,top_class_0_event_count,sw_direct_class_1_count,sw_ct_class_1_count,hw_class_1_count,hw_minus_sw_direct_class_1_count,sw_ct_class_1_score,sw_hwct_class_1_count,sw_hwct_class_1_score,sw_hwct_class_1_event_count,hw_class_1_score,sw_ct_class_1_event_count,hw_class_1_event_count,router_class_1_score,router_class_1_event_count,top_class_1_score,top_class_1_event_count,sw_direct_class_2_count,sw_ct_class_2_count,hw_class_2_count,hw_minus_sw_direct_class_2_count,sw_ct_class_2_score,sw_hwct_class_2_count,sw_hwct_class_2_score,sw_hwct_class_2_event_count,hw_class_2_score,sw_ct_class_2_event_count,hw_class_2_event_count,router_class_2_score,router_class_2_event_count,top_class_2_score,top_class_2_event_count,sw_direct_class_3_count,sw_ct_class_3_count,hw_class_3_count,hw_minus_sw_direct_class_3_count,sw_ct_class_3_score,sw_hwct_class_3_count,sw_hwct_class_3_score,sw_hwct_class_3_event_count,hw_class_3_score,sw_ct_class_3_event_count,hw_class_3_event_count,router_class_3_score,router_class_3_event_count,top_class_3_score,top_class_3_event_count,sw_direct_class_4_count,sw_ct_class_4_count,hw_class_4_count,hw_minus_sw_direct_class_4_count,sw_ct_class_4_score,sw_hwct_class_4_count,sw_hwct_class_4_score,sw_hwct_class_4_event_count,hw_class_4_score,sw_ct_class_4_event_count,hw_class_4_event_count,router_class_4_score,router_class_4_event_count,top_class_4_score,top_class_4_event_count,sw_direct_class_5_count,sw_ct_class_5_count,hw_class_5_count,hw_minus_sw_direct_class_5_count,sw_ct_class_5_score,sw_hwct_class_5_count,sw_hwct_class_5_score,sw_hwct_class_5_event_count,hw_class_5_score,sw_ct_class_5_event_count,hw_class_5_event_count,router_class_5_score,router_class_5_event_count,top_class_5_score,top_class_5_event_count,sw_direct_class_6_count,sw_ct_class_6_count,hw_class_6_count,hw_minus_sw_direct_class_6_count,sw_ct_class_6_score,sw_hwct_class_6_count,sw_hwct_class_6_score,sw_hwct_class_6_event_count,hw_class_6_score,sw_ct_class_6_event_count,hw_class_6_event_count,router_class_6_score,router_class_6_event_count,top_class_6_score,top_class_6_event_count,sw_direct_class_7_count,sw_ct_class_7_count,hw_class_7_count,hw_minus_sw_direct_class_7_count,sw_ct_class_7_score,sw_hwct_class_7_count,sw_hwct_class_7_score,sw_hwct_class_7_event_count,hw_class_7_score,sw_ct_class_7_event_count,hw_class_7_event_count,router_class_7_score,router_class_7_event_count,top_class_7_score,top_class_7_event_count,sw_direct_class_8_count,sw_ct_class_8_count,hw_class_8_count,hw_minus_sw_direct_class_8_count,sw_ct_class_8_score,sw_hwct_class_8_count,sw_hwct_class_8_score,sw_hwct_class_8_event_count,hw_class_8_score,sw_ct_class_8_event_count,hw_class_8_event_count,router_class_8_score,router_class_8_event_count,top_class_8_score,top_class_8_event_count,sw_direct_class_9_count,sw_ct_class_9_count,hw_class_9_count,hw_minus_sw_direct_class_9_count,sw_ct_class_9_score,sw_hwct_class_9_count,sw_hwct_class_9_score,sw_hwct_class_9_event_count,hw_class_9_score,sw_ct_class_9_event_count,hw_class_9_event_count,router_class_9_score,router_class_9_event_count,top_class_9_score,top_class_9_event_count,sw_input_source_group_0_spike_count,hw_input_source_group_0_spike_count,input_source_group_0_spike_diff,sw_input_source_group_1_spike_count,hw_input_source_group_1_spike_count,input_source_group_1_spike_diff,sw_input_source_group_2_spike_count,hw_input_source_group_2_spike_count,input_source_group_2_spike_diff,sw_input_source_group_3_spike_count,hw_input_source_group_3_spike_count,input_source_group_3_spike_diff,sw_input_source_group_4_spike_count,hw_input_source_group_4_spike_count,input_source_group_4_spike_diff,sw_input_source_group_5_spike_count,hw_input_source_group_5_spike_count,input_source_group_5_spike_diff,sw_input_source_group_6_spike_count,hw_input_source_group_6_spike_count,input_source_group_6_spike_diff,sw_input_source_group_7_spike_count,hw_input_source_group_7_spike_count,input_source_group_7_spike_diff,sw_input_source_group_8_spike_count,hw_input_source_group_8_spike_count,input_source_group_8_spike_diff,sw_input_source_group_9_spike_count,hw_input_source_group_9_spike_count,input_source_group_9_spike_diff,sw_input_source_group_10_spike_count,hw_input_source_group_10_spike_count,input_source_group_10_spike_diff,sw_input_source_group_11_spike_count,hw_input_source_group_11_spike_count,input_source_group_11_spike_diff,sw_input_source_group_12_spike_count,hw_input_source_group_12_spike_count,input_source_group_12_spike_diff,sw_input_source_group_13_spike_count,hw_input_source_group_13_spike_count,input_source_group_13_spike_diff,sw_input_source_group_14_spike_count,hw_input_source_group_14_spike_count,input_source_group_14_spike_diff,sw_input_source_group_15_spike_count,hw_input_source_group_15_spike_count,input_source_group_15_spike_diff,total_latency_cycles,ct_lookup_count,ct_valid_entry_count,router_busy_cycles,router_stall_cycles,cross_group_event_count,same_group_event_count,intra_weight_lookup_count,intra_weight_nonzero_count,intra_fifo_blocked_event_count,drop_spike_count,class_0_spike_count,class_1_spike_count,class_2_spike_count,class_3_spike_count,class_4_spike_count,class_5_spike_count,class_6_spike_count,class_7_spike_count,class_8_spike_count,class_9_spike_count,class_0_score,class_1_score,class_2_score,class_3_score,class_4_score,class_5_score,class_6_score,class_7_score,class_8_score,class_9_score,class_0_event_count,class_1_event_count,class_2_event_count,class_3_event_count,class_4_event_count,class_5_event_count,class_6_event_count,class_7_event_count,class_8_event_count,class_9_event_count,out_fifo_overflow_drop_count,ct_lookup_minus_expected,ct_valid_minus_expected,ct_invalid_minus_expected,ct_cross_minus_expected,ct_same_minus_expected,ct_mode_ok
10,0,0,0,0,0,0,0,0,0,138,2070,0,0,138,2070,0,0,0,0,0,2,,1,1,1,0,15,107,114,99,17401,107,17401,418,16009,418,387,0,0,0,0,15,28,34,19,5996,28,5996,104,5672,104,96,0,0,0,0,15,53,57,42,9266,53,9266,222,8665,222,210,0,0,0,0,15,72,76,61,12716,72,12716,267,11766,267,248,0,0,0,0,15,37,45,30,7566,37,7566,168,7127,168,157,0,0,0,0,15,65,71,56,11556,65,11556,251,10540,251,232,0,0,0,0,15,50,53,38,8279,50,8279,198,7755,198,184,0,0,0,0,15,37,47,32,7795,37,7795,134,7279,134,124,0,0,0,0,15,45,52,37,8319,45,8319,187,7542,187,170,0,0,0,0,15,35,41,26,7280,35,7280,121,6906,121,113,0,0,0,0,7,0,-7,7,0,-7,9,0,-9,8,0,-8,8,0,-8,8,0,-8,11,0,-11,9,0,-9,8,0,-8,8,0,-8,9,0,-9,7,0,-7,10,0,-10,9,0,-9,11,0,-11,9,0,-9,849902,2649,1921,62948,48837,1921,0,93184,149,0,0,114,34,57,76,45,71,53,47,52,41,16009,5672,8665,11766,7127,10540,7755,7279,7542,6906,387,96,210,248,157,232,184,124,170,113,0,,,,,,
11,6,6,0,0,0,0,0,0,0,134,2010,0,0,134,2010,0,0,0,0,0,9,,1,1,1,0,15,79,81,66,12739,79,12739,296,11766,296,269,0,0,0,0,15,55,59,44,9709,55,9709,161,9190,161,152,0,0,0,0,15,56,62,47,9858,56,9858,222,9383,222,210,0,0,0,0,15,62,71,56,10912,62,10912,227,9993,227,209,0,0,0,0,15,51,59,44,9915,51,9915,199,9305,199,185,0,0,0,0,15,48,49,34,8782,48,8782,173,8167,173,161,0,0,0,0,15,56,58,43,9295,56,9295,220,8199,220,199,0,0,0,0,15,44,45,30,8281,44,8281,148,7921,148,140,0,0,0,0,15,53,59,44,9447,53,9447,196,8634,196,181,0,0,0,0,15,48,54,39,8996,48,8996,168,8668,168,159,0,0,0,0,9,0,-9,9,0,-9,8,0,-8,11,0,-11,5,0,-5,7,0,-7,9,0,-9,10,0,-10,5,0,-5,6,0,-6,6,0,-6,12,0,-12,10,0,-10,8,0,-8,9,0,-9,10,0,-10,871931,2596,1865,60121,46276,1865,0,93568,145,0,0,81,59,62,71,59,49,58,45,59,54,11766,9190,9383,9993,9305,8167,8199,7921,8634,8668,269,152,210,209,185,161,199,140,181,159,0,,,,,,
12,9,9,9,9,0,0,0,9,9,103,1545,9,9,103,1545,9,9,9,9,9,7,,1,1,1,0,15,40,44,29,7278,40,7278,143,6841,143,135,0,0,0,0,15,32,35,20,6068,32,6068,93,5734,93,88,0,0,0,0,15,33,38,23,5933,33,5933,108,5521,108,101,0,0,0,0,15,36,37,22,6589,36,6589,116,5870,116,106,0,0,0,0,15,67,75,60,11632,67,11632,212,10912,212,199,0,0,0,0,15,43,48,33,7941,43,7941,149,7380,149,138,0,0,0,0,15,42,46,31,7327,42,7327,130,6499,130,118,0,0,0,0,15,65,70,55,11494,65,11494,212,10984,212,199,0,0,0,0,15,43,46,31,7472,43,7472,142,6960,142,133,0,0,0,0,15,73,79,64,12471,73,12471,240,11780,240,226,0,0,0,0,7,0,-7,5,0,-5,7,0,-7,8,0,-8,8,0,-8,6,0,-6,6,0,-6,7,0,-7,7,0,-7,7,0,-7,6,0,-6,6,0,-6,5,0,-5,6,0,-6,6,0,-6,6,0,-6,822343,2064,1443,50464,39420,1443,0,79488,102,0,0,44,35,38,37,75,48,46,70,46,79,6841,5734,5521,5870,10912,7380,6499,10984,6960,11780,135,88,101,106,199,138,118,199,133,226,0,,,,,,
13,0,0,0,0,0,0,0,0,0,134,2010,0,0,134,2010,0,0,0,0,0,9,,1,1,1,0,15,96,101,86,15679,96,15679,349,14402,349,325,0,0,0,0,15,23,27,12,5218,23,5218,81,4643,81,72,0,0,0,0,15,51,55,40,9122,51,9122,196,8432,196,184,0,0,0,0,15,60,64,49,10326,60,10326,218,9621,218,203,0,0,0,0,15,56,57,42,10292,56,10292,198,9644,198,186,0,0,0,0,15,61,67,52,10901,61,10901,224,9964,224,210,0,0,0,0,15,49,57,42,8561,49,8561,187,7750,187,171,0,0,0,0,15,48,54,39,9340,48,9340,170,8604,170,156,0,0,0,0,15,50,55,40,8950,50,8950,192,8228,192,178,0,0,0,0,15,55,61,46,10171,55,10171,195,9474,195,179,0,0,0,0,7,0,-7,9,0,-9,8,0,-8,9,0,-9,8,0,-8,10,0,-10,10,0,-10,8,0,-8,6,0,-6,10,0,-10,10,0,-10,9,0,-9,6,0,-6,8,0,-8,9,0,-9,7,0,-7,812938,2595,1864,62846,49006,1864,0,93568,131,0,0,101,27,55,64,57,67,57,54,55,61,14402,4643,8432,9621,9644,9964,7750,8604,8228,9474,325,72,184,203,186,210,171,156,178,179,0,,,,,,
14,1,1,1,1,0,0,0,1,1,70,1050,1,1,70,1050,1,1,1,1,1,9,,1,1,1,0,15,19,24,9,4125,19,4125,71,3874,71,68,0,0,0,0,15,64,71,56,11494,64,11494,187,10983,187,179,0,0,0,0,15,24,29,14,4381,24,4381,87,4342,87,86,0,0,0,0,15,44,48,33,7862,44,7862,140,7098,140,126,0,0,0,0,15,18,23,8,3816,18,3816,61,3639,61,57,0,0,0,0,15,22,29,14,4493,22,4493,87,4051,87,78,0,0,0,0,15,29,35,20,5894,29,5894,102,5486,102,94,0,0,0,0,15,34,38,23,6262,34,6262,109,5940,109,102,0,0,0,0,15,33,39,24,5830,33,5830,111,5383,111,104,0,0,0,0,15,28,35,20,5464,28,5464,95,5174,95,88,0,0,0,0,5,0,-5,5,0,-5,3,0,-3,5,0,-5,5,0,-5,5,0,-5,3,0,-3,5,0,-5,4,0,-4,4,0,-4,3,0,-3,5,0,-5,5,0,-5,4,0,-4,4,0,-4,5,0,-5,775374,1423,982,34820,27194,982,0,56448,68,0,0,24,71,29,48,23,29,35,38,39,35,3874,10983,4342,7098,3639,4051,5486,5940,5383,5174,68,179,86,126,57,78,94,102,104,88,0,,,,,,
15,5,5,3,3,0,0,0,3,3,107,1605,3,3,107,1605,3,3,3,3,3,2,,1,1,1,0,15,50,56,41,8733,50,8733,221,7945,221,205,0,0,0,0,15,34,39,24,6345,34,6345,118,5804,118,106,0,0,0,0,15,41,43,28,7375,41,7375,191,6946,191,180,0,0,0,0,15,64,70,55,10734,64,10734,244,9820,244,227,0,0,0,0,15,37,40,25,7105,37,7105,136,6784,136,130,0,0,0,0,15,49,54,39,8860,49,8860,205,8391,205,193,0,0,0,0,15,27,31,16,4965,27,4965,131,4702,131,124,0,0,0,0,15,29,34,19,5632,29,5632,105,5250,105,96,0,0,0,0,15,34,37,22,6607,34,6607,142,6107,142,130,0,0,0,0,15,31,35,20,6235,31,6235,112,5805,112,104,0,0,0,0,7,0,-7,5,0,-5,6,0,-6,7,0,-7,8,0,-8,8,0,-8,7,0,-7,8,0,-8,8,0,-8,8,0,-8,7,0,-7,8,0,-8,6,0,-6,3,0,-3,5,0,-5,6,0,-6,819969,2041,1495,46768,35910,1495,0,69888,110,0,0,56,39,43,70,40,54,31,34,37,35,7945,5804,6946,9820,6784,8391,4702,5250,6107,5805,205,106,180,227,130,193,124,96,130,104,0,,,,,,
16,9,9,9,9,0,0,0,9,9,101,1515,9,9,101,1515,9,9,9,9,9,5,,1,1,1,0,15,42,45,30,7453,42,7453,162,6798,162,150,0,0,0,0,15,20,26,11,4585,20,4585,69,4434,69,67,0,0,0,0,15,34,40,25,6464,34,6464,123,6128,123,115,0,0,0,0,15,44,48,33,8130,44,8130,151,7441,151,139,0,0,0,0,15,61,68,53,10816,61,10816,203,10281,203,191,0,0,0,0,15,32,37,22,6561,32,6561,118,5947,118,110,0,0,0,0,15,38,43,28,7004,38,7004,124,6228,124,113,0,0,0,0,15,51,55,40,9082,51,9082,174,8807,174,166,0,0,0,0,15,43,50,35,7777,43,7777,160,7145,160,148,0,0,0,0,15,65,70,55,11481,65,11481,231,10863,231,215,0,0,0,0,6,0,-6,8,0,-8,7,0,-7,6,0,-6,5,0,-5,8,0,-8,8,0,-8,6,0,-6,4,0,-4,6,0,-6,8,0,-8,6,0,-6,5,0,-5,5,0,-5,7,0,-7,6,0,-6,816246,1997,1414,49867,39198,1414,0,74624,101,0,0,45,26,40,48,68,37,43,55,50,70,6798,4434,6128,7441,10281,5947,6228,8807,7145,10863,150,67,115,139,191,110,113,166,148,215,0,,,,,,
17,7,7,7,7,0,0,0,7,7,104,1560,7,7,104,1560,7,7,7,7,7,0,,1,1,1,0,15,35,42,27,6836,35,6836,132,6315,132,126,0,0,0,0,15,23,30,15,5014,23,5014,95,4920,95,92,0,0,0,0,15,20,27,12,4070,20,4070,95,3765,95,89,0,0,0,0,15,48,51,36,8393,48,8393,185,7563,185,170,0,0,0,0,15,36,41,26,6771,36,6771,155,6528,155,150,0,0,0,0,15,36,42,27,6998,36,6998,148,6363,148,135,0,0,0,0,15,41,47,32,7548,41,7548,145,7102,145,135,0,0,0,0,15,81,84,69,13112,81,13112,287,12535,287,274,0,0,0,0,15,29,36,21,5773,29,5773,119,5049,119,110,0,0,0,0,15,54,63,48,9988,54,9988,199,9222,199,183,0,0,0,0,7,0,-7,7,0,-7,8,0,-8,5,0,-5,7,0,-7,6,0,-6,6,0,-6,6,0,-6,5,0,-5,6,0,-6,6,0,-6,5,0,-5,7,0,-7,8,0,-8,7,0,-7,8,0,-8,839975,2031,1464,48696,37870,1464,0,72576,96,0,0,42,30,27,51,41,42,47,84,36,63,6315,4920,3765,7563,6528,6363,7102,12535,5049,9222,126,92,89,170,150,135,135,274,110,183,0,,,,,,
18,3,5,3,3,0,0,0,3,3,161,2415,3,3,161,2415,3,3,3,3,3,1,,1,1,1,0,15,56,62,47,10242,56,10242,240,9459,240,226,0,0,0,0,15,65,69,54,11375,65,11375,237,10813,237,220,0,0,0,0,15,54,58,43,9496,54,9496,263,8848,263,245,0,0,0,0,15,76,83,68,13092,76,13092,315,11962,315,291,0,0,0,0,15,51,54,39,9514,51,9514,227,9132,227,215,0,0,0,0,15,62,71,56,11706,62,11706,261,11083,261,243,0,0,0,0,15,57,62,47,9754,57,9754,237,9021,237,221,0,0,0,0,15,53,58,43,9355,53,9355,205,8973,205,195,0,0,0,0,15,55,59,44,10388,55,10388,216,9601,216,200,0,0,0,0,15,59,63,48,10862,59,10862,214,10184,214,197,0,0,0,0,11,0,-11,9,0,-9,10,0,-10,12,0,-12,11,0,-11,9,0,-9,8,0,-8,8,0,-8,11,0,-11,8,0,-8,9,0,-9,10,0,-10,12,0,-12,13,0,-13,8,0,-8,12,0,-12,876955,3053,2253,68631,52405,2253,0,102400,162,0,0,62,69,58,83,54,71,62,58,59,63,9459,10813,8848,11962,9132,11083,9021,8973,9601,10184,226,220,245,291,215,243,221,195,200,197,0,,,,,,
19,4,4,4,4,0,0,0,4,4,79,1185,4,4,79,1185,4,4,4,4,4,3,,1,1,1,0,15,29,34,19,5264,29,5264,108,4812,108,100,0,0,0,0,15,20,25,10,4247,20,4247,57,4143,57,55,0,0,0,0,15,20,25,10,4184,20,4184,83,3859,83,76,0,0,0,0,15,31,36,21,6076,31,6076,111,5550,111,103,0,0,0,0,15,58,63,48,10117,58,10117,185,9703,185,176,0,0,0,0,15,30,36,21,6086,30,6086,119,5586,119,111,0,0,0,0,15,31,36,21,5909,31,5909,105,5299,105,96,0,0,0,0,15,40,45,30,7659,40,7659,129,7542,129,126,0,0,0,0,15,31,37,22,6021,31,6021,115,5674,115,108,0,0,0,0,15,51,57,42,9144,51,9144,173,8703,173,164,0,0,0,0,6,0,-6,2,0,-2,4,0,-4,5,0,-5,5,0,-5,4,0,-4,5,0,-5,5,0,-5,5,0,-5,6,0,-6,5,0,-5,6,0,-6,5,0,-5,6,0,-6,4,0,-4,6,0,-6,811862,1588,1115,39819,31327,1115,0,60544,70,0,0,34,25,25,36,63,36,36,45,37,57,4812,4143,3859,5550,9703,5586,5299,7542,5674,8703,100,55,76,103,176,111,96,126,108,164,0,,,,,,
20,9,9,9,9,0,0,0,7,7,122,1830,7,7,122,1830,7,7,7,7,7,8,,1,1,1,0,15,43,49,34,7818,43,7818,158,7331,158,151,0,0,0,0,15,62,67,52,11080,62,11080,179,10441,179,170,0,0,0,0,15,32,39,24,5984,32,5984,109,5677,109,103,0,0,0,0,15,57,64,49,10034,57,10034,191,9115,191,175,0,0,0,0,15,64,69,54,11575,64,11575,198,11116,198,189,0,0,0,0,15,52,61,46,9480,52,9480,185,8594,185,168,0,0,0,0,15,41,46,31,7526,41,7526,133,6993,133,124,0,0,0,0,15,78,84,69,13117,78,13117,252,12644,252,241,0,0,0,0,15,51,55,40,8885,51,8885,174,8252,174,164,0,0,0,0,15,75,83,68,13011,75,13011,251,12400,251,236,0,0,0,0,8,0,-8,6,0,-6,7,0,-7,7,0,-7,9,0,-9,7,0,-7,7,0,-7,7,0,-7,7,0,-7,9,0,-9,8,0,-8,10,0,-10,6,0,-6,6,0,-6,10,0,-10,8,0,-8,846520,2460,1721,58753,45592,1721,0,94592,109,0,0,49,67,39,64,69,61,46,84,55,83,7331,10441,5677,9115,11116,8594,6993,12644,8252,12400,151,170,103,175,189,168,124,241,164,236,0,,,,,,
21,6,6,6,6,0,0,0,6,6,103,1545,6,6,103,1545,6,6,6,6,6,3,,1,1,1,0,15,47,48,33,8122,47,8122,170,7594,170,160,0,0,0,0,15,38,44,29,6895,38,6895,114,6396,114,106,0,0,0,0,15,37,40,25,6911,37,6911,142,6286,142,131,0,0,0,0,15,56,62,47,9764,56,9764,196,8997,196,180,0,0,0,0,15,49,53,38,8899,49,8899,160,8384,160,148,0,0,0,0,15,47,54,39,8651,47,8651,166,8097,166,154,0,0,0,0,15,61,66,51,10453,61,10453,214,9723,214,200,0,0,0,0,15,27,33,18,5547,27,5547,92,5359,92,88,0,0,0,0,15,39,41,26,7141,39,7141,139,6554,139,130,0,0,0,0,15,46,52,37,8562,46,8562,152,8162,152,144,0,0,0,0,8,0,-8,8,0,-8,6,0,-6,6,0,-6,6,0,-6,7,0,-7,6,0,-6,6,0,-6,6,0,-6,7,0,-7,3,0,-3,7,0,-7,7,0,-7,7,0,-7,7,0,-7,6,0,-6,793210,2037,1441,50364,39480,1441,0,76288,104,0,0,48,44,40,62,53,54,66,33,41,52,7594,6396,6286,8997,8384,8097,9723,5359,6554,8162,160,106,131,180,148,154,200,88,130,144,0,,,,,,
22,6,6,4,4,0,0,0,6,6,119,1785,6,6,119,1785,6,6,6,6,6,5,,1,1,1,0,15,54,59,44,9620,54,9620,214,8910,214,197,0,0,0,0,15,52,54,39,9518,52,9518,151,9353,151,148,0,0,0,0,15,45,51,36,8448,45,8448,176,8062,176,166,0,0,0,0,15,50,54,39,8916,50,8916,186,7945,186,170,0,0,0,0,15,58,65,50,10431,58,10431,212,9980,212,199,0,0,0,0,15,30,35,20,6127,30,6127,120,5593,120,110,0,0,0,0,15,65,70,55,11237,65,11237,228,10257,228,209,0,0,0,0,15,44,48,33,8223,44,8223,157,7878,157,150,0,0,0,0,15,44,49,34,7979,44,7979,156,7385,156,146,0,0,0,0,15,50,56,41,9445,50,9445,185,8951,185,174,0,0,0,0,7,0,-7,5,0,-5,7,0,-7,9,0,-9,6,0,-6,8,0,-8,8,0,-8,9,0,-9,5,0,-5,7,0,-7,8,0,-8,9,0,-9,7,0,-7,5,0,-5,8,0,-8,11,0,-11,803516,2329,1669,56092,43668,1669,0,84480,116,0,0,59,54,51,54,65,35,70,48,49,56,8910,9353,8062,7945,9980,5593,10257,7878,7385,8951,197,148,166,170,199,110,209,150,146,174,0,,,,,,
23,5,5,5,5,0,0,0,5,5,98,1470,5,5,98,1470,5,5,5,5,5,1,,1,1,1,0,15,48,54,39,8238,48,8238,179,7712,179,171,0,0,0,0,15,28,39,24,5883,28,5883,118,5433,118,108,0,0,0,0,15,24,28,13,4560,24,4560,98,4172,98,91,0,0,0,0,15,49,54,39,8736,49,8736,178,8210,178,167,0,0,0,0,15,41,44,29,7643,41,7643,143,7246,143,135,0,0,0,0,15,56,60,45,9546,56,9546,208,8536,208,189,0,0,0,0,15,48,55,40,8537,48,8537,160,7898,160,149,0,0,0,0,15,27,34,19,5672,27,5672,97,5365,97,90,0,0,0,0,15,42,45,30,7151,42,7151,153,6717,153,143,0,0,0,0,15,42,46,31,7634,42,7634,136,7409,136,131,0,0,0,0,7,0,-7,8,0,-8,6,0,-6,5,0,-5,8,0,-8,9,0,-9,9,0,-9,6,0,-6,6,0,-6,6,0,-6,5,0,-5,4,0,-4,5,0,-5,5,0,-5,4,0,-4,5,0,-5,792845,1931,1374,45704,35394,1374,0,71296,96,0,0,54,39,28,54,44,60,55,34,45,46,7712,5433,4172,8210,7246,8536,7898,5365,6717,7409,171,108,91,167,135,189,149,90,143,131,0,,,,,,
24,4,4,4,4,0,0,0,4,4,70,1050,4,4,70,1050,4,4,4,4,4,2,,1,1,1,0,15,24,28,13,4765,24,4765,108,4408,108,99,0,0,0,0,15,17,20,5,3661,17,3661,57,3547,57,55,0,0,0,0,15,18,23,8,4131,18,4131,75,4050,75,73,0,0,0,0,15,33,39,24,6194,33,6194,123,5505,123,111,0,0,0,0,15,49,57,42,9240,49,9240,174,8980,174,167,0,0,0,0,15,19,26,11,4553,19,4553,83,4264,83,79,0,0,0,0,15,21,28,13,4781,21,4781,86,4180,86,78,0,0,0,0,15,32,38,23,5945,32,5945,105,5790,105,101,0,0,0,0,15,18,25,10,3836,18,3836,79,3512,79,74,0,0,0,0,15,47,51,36,7948,47,7948,160,7695,160,153,0,0,0,0,3,0,-3,3,0,-3,7,0,-7,7,0,-7,3,0,-3,3,0,-3,5,0,-5,6,0,-6,3,0,-3,3,0,-3,6,0,-6,6,0,-6,2,0,-2,1,0,-1,5,0,-5,7,0,-7,796816,1395,990,32372,24922,990,0,51840,60,0,0,28,20,23,39,57,26,28,38,25,51,4408,3547,4050,5505,8980,4264,4180,5790,3512,7695,99,55,73,111,167,79,78,101,74,153,0,,,,,,
25,0,0,0,0,0,0,0,0,0,227,3405,0,0,227,3405,0,0,0,0,0,2,,1,1,1,0,15,147,160,145,24035,147,24035,584,22392,584,545,0,0,0,0,15,62,68,53,11260,62,11260,226,10714,226,213,0,0,0,0,15,92,99,84,15928,92,15928,358,14920,358,335,0,0,0,0,15,90,94,79,15764,90,15764,324,14793,324,304,0,0,0,0,15,86,90,75,15279,86,15279,323,14494,323,302,0,0,0,0,15,100,105,90,16970,100,16970,368,15554,368,339,0,0,0,0,15,104,109,94,17794,104,17794,393,16427,393,365,0,0,0,0,15,80,85,70,14593,80,14593,278,13894,278,264,0,0,0,0,15,75,78,63,13006,75,13006,274,12067,274,254,0,0,0,0,15,80,88,73,15246,80,15246,277,14327,277,258,0,0,0,0,13,0,-13,13,0,-13,13,0,-13,16,0,-16,14,0,-14,16,0,-16,17,0,-17,15,0,-15,16,0,-16,14,0,-14,12,0,-12,13,0,-13,15,0,-15,13,0,-13,13,0,-13,14,0,-14,946936,4382,3179,99459,76119,3179,0,153984,226,0,0,160,68,99,94,90,105,109,85,78,88,22392,10714,14920,14793,14494,15554,16427,13894,12067,14327,545,213,335,304,302,339,365,264,254,258,0,,,,,,
26,7,7,7,7,0,0,0,7,7,76,1140,7,7,76,1140,7,7,7,7,7,7,,1,1,1,0,15,22,29,14,4722,22,4722,108,4227,108,100,0,0,0,0,15,15,20,5,3569,15,3569,73,3406,73,69,0,0,0,0,15,11,16,1,2940,11,2940,56,2596,56,50,0,0,0,0,15,23,30,15,4869,23,4869,106,4423,106,96,0,0,0,0,15,35,41,26,6851,35,6851,145,6609,145,139,0,0,0,0,15,26,31,16,5285,26,5285,113,4808,113,105,0,0,0,0,15,20,29,14,4523,20,4523,86,4254,86,83,0,0,0,0,15,55,61,46,9443,55,9443,198,9274,198,193,0,0,0,0,15,17,20,5,3674,17,3674,71,3412,71,67,0,0,0,0,15,49,54,39,8841,49,8841,184,8117,184,169,0,0,0,0,5,0,-5,5,0,-5,5,0,-5,6,0,-6,6,0,-6,4,0,-4,3,0,-3,5,0,-5,5,0,-5,4,0,-4,2,0,-2,6,0,-6,5,0,-5,4,0,-4,5,0,-5,6,0,-6,783594,1478,1071,32599,24726,1071,0,52096,69,0,0,29,20,16,30,41,31,29,61,20,54,4227,3406,2596,4423,6609,4808,4254,9274,3412,8117,100,69,50,96,139,105,83,193,67,169,0,,,,,,
